kem,signature,kem_category,signature_category,loss_profile,iterations,outliers_removed,mean_ms,std_ms,ci95_low_ms,ci95_high_ms,quic_mode
MLKEM512,MLDSA44,pqc,pqc,0.1,17,3,2.151765,0.143101,2.083739,2.219791,0 - default
MLKEM512,falcon512,pqc,pqc,0.1,17,3,2.466471,0.059155,2.438350,2.494591,0 - default
MLKEM512,falconpadded512,pqc,pqc,0.1,19,1,2.536842,0.129488,2.478617,2.595067,0 - default
MLKEM512,sphincssha2128fsimple,pqc,pqc,0.1,20,0,10.339000,0.180756,10.259780,10.418220,0 - default
MLKEM512,sphincssha2128ssimple,pqc,pqc,0.1,18,2,149.573889,0.071137,149.541025,149.606752,0 - default
MLKEM512,sphincsshake128fsimple,pqc,pqc,0.1,18,2,18.918889,0.090871,18.876909,18.960869,0 - default
MLKEM512,sphincsshake128ssimple,pqc,pqc,0.1,18,2,317.880556,0.249033,317.765508,317.995603,0 - default
MLKEM768,MLDSA65,pqc,pqc,0.1,20,0,2.909000,0.858683,2.532666,3.285334,0 - default
MLKEM768,sphincssha2192fsimple,pqc,pqc,0.1,19,1,15.665789,0.055309,15.640920,15.690659,0 - default
MLKEM768,sphincssha2192ssimple,pqc,pqc,0.1,19,1,266.891053,0.153257,266.822140,266.959965,0 - default
MLKEM768,sphincsshake192fsimple,pqc,pqc,0.1,18,2,29.071667,0.079798,29.034802,29.108531,0 - default
MLKEM768,sphincsshake192ssimple,pqc,pqc,0.1,17,3,569.218824,0.117574,569.162933,569.274714,0 - default
MLKEM1024,MLDSA87,pqc,pqc,0.1,17,3,3.138824,0.306571,2.993089,3.284558,0 - default
MLKEM1024,falcon1024,pqc,pqc,0.1,16,4,2.977500,0.041873,2.956982,2.998018,0 - default
MLKEM1024,falconpadded1024,pqc,pqc,0.1,16,4,2.971875,0.053817,2.945505,2.998245,0 - default
MLKEM1024,sphincssha2256fsimple,pqc,pqc,0.1,19,1,28.356842,0.058883,28.330365,28.383319,0 - default
MLKEM1024,sphincssha2256ssimple,pqc,pqc,0.1,18,2,242.679444,0.095700,242.635233,242.723656,0 - default
MLKEM1024,sphincsshake256fsimple,pqc,pqc,0.1,19,1,56.654211,0.092214,56.612746,56.695675,0 - default
MLKEM1024,sphincsshake256ssimple,pqc,pqc,0.1,20,0,485.651500,0.145033,485.587937,485.715063,0 - default
frodo640aes,MLDSA44,pqc,pqc,0.1,20,0,4.228500,0.522930,3.999316,4.457684,0 - default
frodo640aes,falcon512,pqc,pqc,0.1,18,2,4.306667,0.082248,4.268670,4.344663,0 - default
frodo640aes,falconpadded512,pqc,pqc,0.1,18,2,4.316111,0.097868,4.270898,4.361324,0 - default
frodo640aes,sphincssha2128fsimple,pqc,pqc,0.1,18,2,11.843333,0.140838,11.778270,11.908397,0 - default
frodo640aes,sphincssha2128ssimple,pqc,pqc,0.1,18,1,151.253889,0.109552,151.203278,151.304499,0 - default
frodo640aes,sphincsshake128fsimple,pqc,pqc,0.1,19,1,20.554211,0.108490,20.505427,20.602994,0 - default
frodo640aes,sphincsshake128ssimple,pqc,pqc,0.1,20,0,319.493000,0.165023,319.420675,319.565325,0 - default
frodo640shake,MLDSA44,pqc,pqc,0.1,19,1,6.096316,0.316196,5.954137,6.238495,0 - default
frodo640shake,falcon512,pqc,pqc,0.1,17,3,6.231765,0.042314,6.211650,6.251879,0 - default
frodo640shake,falconpadded512,pqc,pqc,0.1,19,1,6.226842,0.066253,6.197051,6.256633,0 - default
frodo640shake,sphincssha2128fsimple,pqc,pqc,0.1,19,1,13.796316,0.055997,13.771136,13.821495,0 - default
frodo640shake,sphincssha2128ssimple,pqc,pqc,0.1,19,1,153.083684,0.093107,153.041818,153.125550,0 - default
frodo640shake,sphincsshake128fsimple,pqc,pqc,0.1,17,3,22.485882,0.044167,22.464887,22.506878,0 - default
