kem,signature,kem_category,signature_category,loss_profile,iterations,outliers_removed,mean_ms,std_ms,ci95_low_ms,ci95_high_ms,quic_mode
MLKEM512,MLDSA44,pqc,pqc,off,20,0,2.650500,0.791185,2.303748,2.997252,0 - default
MLKEM512,MLDSA65,pqc,pqc,off,19,1,2.848421,0.536369,2.607240,3.089602,0 - default
MLKEM512,MLDSA87,pqc,pqc,off,20,0,3.419000,0.770700,3.081226,3.756774,0 - default
MLKEM512,p256_mldsa44,pqc,pqc-hybrid,off,18,2,3.321111,0.112191,3.269281,3.372941,0 - default
MLKEM512,rsa3072_mldsa44,pqc,pqc-hybrid,off,18,2,5.135556,0.070978,5.102765,5.168346,0 - default
MLKEM512,p384_mldsa65,pqc,pqc-hybrid,off,19,1,4.976316,0.112458,4.925749,5.026883,0 - default
MLKEM512,p521_mldsa87,pqc,pqc-hybrid,off,19,1,6.968421,0.142605,6.904298,7.032544,0 - default
MLKEM512,falcon512,pqc,pqc,off,19,1,2.516316,0.117672,2.463404,2.569228,0 - default
MLKEM512,falcon1024,pqc,pqc,off,18,2,2.854444,0.071144,2.821578,2.887311,0 - default
MLKEM512,p256_falcon512,pqc,pqc-hybrid,off,19,1,3.487895,0.099865,3.442990,3.532800,0 - default
MLKEM512,rsa3072_falcon512,pqc,pqc-hybrid,off,18,2,5.275556,0.088066,5.234871,5.316240,0 - default
MLKEM512,falconpadded512,pqc,pqc,off,18,2,2.513889,0.089583,2.472504,2.555274,0 - default
MLKEM512,p256_falconpadded512,pqc,pqc-hybrid,off,18,2,3.500000,0.078665,3.463658,3.536342,0 - default
MLKEM512,rsa3072_falconpadded512,pqc,pqc-hybrid,off,18,2,5.290000,0.083031,5.251642,5.328358,0 - default
MLKEM512,p521_falcon1024,pqc,pqc-hybrid,off,18,2,7.076667,0.069621,7.044503,7.108830,0 - default
MLKEM512,falconpadded1024,pqc,pqc,off,20,0,2.952500,0.145923,2.888547,3.016453,0 - default
MLKEM512,p521_falconpadded1024,pqc,pqc-hybrid,off,19,1,7.086842,0.080142,7.050806,7.122879,0 - default
MLKEM512,sphincssha2128fsimple,pqc,pqc,off,19,1,10.280000,0.088066,10.240401,10.319599,0 - default
MLKEM512,p256_sphincssha2128fsimple,pqc,pqc-hybrid,off,19,1,11.195789,0.144427,11.130847,11.260732,0 - default
MLKEM512,rsa3072_sphincssha2128fsimple,pqc,pqc-hybrid,off,19,1,12.834211,0.099739,12.789362,12.879059,0 - default
MLKEM512,sphincssha2128ssimple,pqc,pqc,off,17,3,149.112941,0.140257,149.046267,149.179615,0 - default
MLKEM512,p256_sphincssha2128ssimple,pqc,pqc-hybrid,off,18,2,150.045556,0.155836,149.973563,150.117548,0 - default
MLKEM512,rsa3072_sphincssha2128ssimple,pqc,pqc-hybrid,off,18,2,151.805000,0.167130,151.727790,151.882210,0 - default
MLKEM512,sphincssha2192fsimple,pqc,pqc,off,18,2,15.584444,0.064189,15.554791,15.614098,0 - default
MLKEM512,p384_sphincssha2192fsimple,pqc,pqc-hybrid,off,18,2,17.885556,0.056488,17.859460,17.911651,0 - default
MLKEM512,sphincssha2192ssimple,pqc,pqc,off,19,1,267.085263,0.179641,267.004487,267.166039,0 - default
MLKEM512,p384_sphincssha2192ssimple,pqc,pqc-hybrid,off,19,1,269.324737,0.252199,269.211335,269.438139,0 - default
MLKEM512,sphincssha2256fsimple,pqc,pqc,off,18,2,28.262778,0.074739,28.228250,28.297306,0 - default
MLKEM512,p521_sphincssha2256fsimple,pqc,pqc-hybrid,off,19,1,32.470526,0.161399,32.397952,32.543100,0 - default
MLKEM512,sphincssha2256ssimple,pqc,pqc,off,19,1,242.806842,0.172113,242.729451,242.884233,0 - default
MLKEM512,p521_sphincssha2256ssimple,pqc,pqc-hybrid,off,18,2,247.080556,0.141191,247.015329,247.145783,0 - default
MLKEM512,sphincsshake128fsimple,pqc,pqc,off,18,2,18.956111,0.077698,18.920217,18.992006,0 - default
MLKEM512,p256_sphincsshake128fsimple,pqc,pqc-hybrid,off,18,2,19.805000,0.054151,19.779983,19.830017,0 - default
MLKEM512,rsa3072_sphincsshake128fsimple,pqc,pqc-hybrid,off,18,2,21.507778,0.092517,21.465037,21.550519,0 - default
MLKEM512,sphincsshake128ssimple,pqc,pqc,off,20,0,318.092500,0.308270,317.957395,318.227605,0 - default
MLKEM512,p256_sphincsshake128ssimple,pqc,pqc-hybrid,off,19,1,319.243684,0.237539,319.136874,319.350495,0 - default
MLKEM512,rsa3072_sphincsshake128ssimple,pqc,pqc-hybrid,off,19,1,320.812632,0.205854,320.720068,320.905195,0 - default
MLKEM512,sphincsshake192fsimple,pqc,pqc,off,19,1,29.057368,0.081366,29.020782,29.093955,0 - default
MLKEM512,p384_sphincsshake192fsimple,pqc,pqc-hybrid,off,18,2,31.231111,0.084845,31.191915,31.270308,0 - default
MLKEM512,sphincsshake192ssimple,pqc,pqc,off,18,2,569.315556,0.123918,569.258309,569.372803,0 - default
MLKEM512,p384_sphincsshake192ssimple,pqc,pqc-hybrid,off,17,3,571.687647,0.240716,571.573218,571.802076,0 - default
MLKEM512,sphincsshake256fsimple,pqc,pqc,off,19,1,56.655263,0.115680,56.603247,56.707279,0 - default
MLKEM512,p521_sphincsshake256fsimple,pqc,pqc-hybrid,off,20,0,60.958000,0.161688,60.887137,61.028863,0 - default
MLKEM512,sphincsshake256ssimple,pqc,pqc,off,20,0,485.812000,0.195599,485.726275,485.897725,0 - default
MLKEM512,p521_sphincsshake256ssimple,pqc,pqc-hybrid,off,20,0,490.331500,0.381248,490.164411,490.498589,0 - default
MLKEM512,ED25519,pqc,classic,off,19,1,1.605789,0.021938,1.595925,1.615654,0 - default
MLKEM512,ED448,pqc,classic,off,19,1,1.913158,0.025178,1.901837,1.924479,0 - default
MLKEM768,MLDSA44,pqc,pqc,off,18,2,2.156111,0.234374,2.047836,2.264386,0 - default
MLKEM768,MLDSA65,pqc,pqc,off,19,1,3.142632,0.736929,2.811268,3.473995,0 - default
MLKEM768,MLDSA87,pqc,pqc,off,18,2,2.983889,0.305174,2.842906,3.124872,0 - default
MLKEM768,p256_mldsa44,pqc,pqc-hybrid,off,19,1,3.362105,0.118490,3.308826,3.415385,0 - default
MLKEM768,rsa3072_mldsa44,pqc,pqc-hybrid,off,18,2,5.182222,0.038738,5.164326,5.200118,0 - default
MLKEM768,p384_mldsa65,pqc,pqc-hybrid,off,19,1,4.937895,0.123404,4.882405,4.993384,0 - default
MLKEM768,p521_mldsa87,pqc,pqc-hybrid,off,19,1,6.991053,0.144179,6.926222,7.055884,0 - default
MLKEM768,falcon512,pqc,pqc,off,20,0,2.645500,0.173766,2.569344,2.721656,0 - default
MLKEM768,falcon1024,pqc,pqc,off,19,1,2.884737,0.096169,2.841494,2.927980,0 - default
MLKEM768,p256_falcon512,pqc,pqc-hybrid,off,19,1,3.494211,0.143307,3.429772,3.558649,0 - default
MLKEM768,rsa3072_falcon512,pqc,pqc-hybrid,off,19,1,5.213158,0.074016,5.179876,5.246440,0 - default
MLKEM768,falconpadded512,pqc,pqc,off,17,3,2.529412,0.040229,2.510288,2.548535,0 - default
MLKEM768,p256_falconpadded512,pqc,pqc-hybrid,off,18,2,3.424444,0.039738,3.406087,3.442802,0 - default
MLKEM768,rsa3072_falconpadded512,pqc,pqc-hybrid,off,19,1,5.291053,0.099772,5.246190,5.335915,0 - default
MLKEM768,p521_falcon1024,pqc,pqc-hybrid,off,19,1,7.144737,0.070267,7.113141,7.176333,0 - default
MLKEM768,falconpadded1024,pqc,pqc,off,19,1,2.922105,0.099363,2.877426,2.966785,0 - default
MLKEM768,p521_falconpadded1024,pqc,pqc-hybrid,off,19,1,7.165263,0.134758,7.104669,7.225858,0 - default
MLKEM768,sphincssha2128fsimple,pqc,pqc,off,20,0,10.263500,0.124278,10.209033,10.317967,0 - default
MLKEM768,p256_sphincssha2128fsimple,pqc,pqc-hybrid,off,18,2,11.116111,0.098944,11.070401,11.161821,0 - default
MLKEM768,rsa3072_sphincssha2128fsimple,pqc,pqc-hybrid,off,19,1,12.830000,0.079931,12.794059,12.865941,0 - default
MLKEM768,sphincssha2128ssimple,pqc,pqc,off,20,0,149.118000,0.157767,149.048855,149.187145,0 - default
MLKEM768,p256_sphincssha2128ssimple,pqc,pqc-hybrid,off,20,0,150.077500,0.225012,149.978884,150.176116,0 - default
MLKEM768,rsa3072_sphincssha2128ssimple,pqc,pqc-hybrid,off,19,1,151.763158,0.156917,151.692600,151.833716,0 - default
MLKEM768,sphincssha2192fsimple,pqc,pqc,off,19,1,15.657368,0.080749,15.621059,15.693678,0 - default
MLKEM768,p384_sphincssha2192fsimple,pqc,pqc-hybrid,off,19,1,17.904211,0.068663,17.873336,17.935085,0 - default
MLKEM768,sphincssha2192ssimple,pqc,pqc,off,20,0,267.183500,0.218831,267.087593,267.279407,0 - default
MLKEM768,p384_sphincssha2192ssimple,pqc,pqc-hybrid,off,19,1,269.605789,0.164969,269.531611,269.679968,0 - default
MLKEM768,sphincssha2256fsimple,pqc,pqc,off,18,2,28.413333,0.062591,28.384418,28.442249,0 - default
