kem,signature,kem_category,signature_category,loss_profile,iterations,outliers_removed,mean_ms,std_ms,ci95_low_ms,ci95_high_ms,quic_mode
MLKEM512,MLDSA44,pqc,pqc,1,20,0,2.435000,0.418399,2.251628,2.618372,0 - default
MLKEM512,falcon512,pqc,pqc,1,16,4,2.456250,0.048425,2.432522,2.479978,0 - default
MLKEM512,falconpadded512,pqc,pqc,1,19,1,2.578947,0.161895,2.506151,2.651744,0 - default
MLKEM512,sphincssha2128fsimple,pqc,pqc,1,20,0,10.280000,0.123117,10.226041,10.333959,0 - default
MLKEM512,sphincssha2128ssimple,pqc,pqc,1,19,1,149.627368,0.133909,149.567156,149.687581,0 - default
MLKEM512,sphincsshake128fsimple,pqc,pqc,1,18,2,18.955000,0.147778,18.886730,19.023270,0 - default
MLKEM512,sphincsshake128ssimple,pqc,pqc,1,19,1,318.003158,0.165128,317.928907,318.077408,0 - default
MLKEM768,MLDSA65,pqc,pqc,1,17,3,2.864118,0.517917,2.617915,3.110320,0 - default
MLKEM768,sphincssha2192fsimple,pqc,pqc,1,18,2,15.718333,0.117436,15.664081,15.772586,0 - default
MLKEM768,sphincssha2192ssimple,pqc,pqc,1,18,2,267.206111,0.288895,267.072648,267.339574,0 - default
MLKEM768,sphincsshake192fsimple,pqc,pqc,1,17,3,29.274118,0.080394,29.235901,29.312335,0 - default
MLKEM768,sphincsshake192ssimple,pqc,pqc,1,17,3,569.510588,0.346292,569.345971,569.675205,0 - default
MLKEM1024,MLDSA87,pqc,pqc,1,20,0,3.280000,0.604918,3.014883,3.545117,0 - default
MLKEM1024,falcon1024,pqc,pqc,1,16,4,3.025000,0.047610,3.001671,3.048329,0 - default
MLKEM1024,falconpadded1024,pqc,pqc,1,15,5,2.992667,0.016676,2.984227,3.001106,0 - default
MLKEM1024,sphincssha2256fsimple,pqc,pqc,1,18,2,28.546667,0.170639,28.467835,28.625498,0 - default
MLKEM1024,sphincssha2256ssimple,pqc,pqc,1,18,2,243.385000,0.236724,243.275639,243.494361,0 - default
MLKEM1024,sphincsshake256fsimple,pqc,pqc,1,19,1,56.866842,0.235963,56.760740,56.972944,0 - default
MLKEM1024,sphincsshake256ssimple,pqc,pqc,1,18,2,485.896111,0.251001,485.780154,486.012068,0 - default
frodo640aes,MLDSA44,pqc,pqc,1,20,0,4.433000,0.667423,4.140489,4.725511,0 - default
frodo640aes,falcon512,pqc,pqc,1,18,2,4.293889,0.085759,4.254270,4.333507,0 - default
frodo640aes,falconpadded512,pqc,pqc,1,18,2,4.356667,0.132931,4.295256,4.418078,0 - default
frodo640aes,sphincssha2128fsimple,pqc,pqc,1,19,1,11.898421,0.169878,11.822035,11.974807,0 - default
frodo640aes,sphincssha2128ssimple,pqc,pqc,1,17,2,151.324118,0.108170,151.272697,151.375538,0 - default
frodo640aes,sphincsshake128fsimple,pqc,pqc,1,19,1,20.583158,0.163165,20.509790,20.656526,0 - default
