kem,signature,kem_category,signature_category,loss_profile,iterations,outliers_removed,mean_ms,std_ms,ci95_low_ms,ci95_high_ms,quic_mode
MLKEM512,MLDSA44,pqc,pqc,10,15,5,3.287333,2.197926,2.175029,4.399637,0 - default
MLKEM512,falcon512,pqc,pqc,10,16,4,3.049375,0.976835,2.570726,3.528024,0 - default
MLKEM512,falconpadded512,pqc,pqc,10,16,4,2.766250,0.667462,2.439194,3.093306,0 - default
MLKEM512,sphincssha2128fsimple,pqc,pqc,10,18,2,16.603333,10.293754,11.847862,21.358805,0 - default
MLKEM512,sphincssha2128ssimple,pqc,pqc,10,15,5,150.185333,0.695125,149.833552,150.537115,0 - default
MLKEM512,sphincsshake128fsimple,pqc,pqc,10,16,4,20.545625,2.841342,19.153367,21.937883,0 - default
MLKEM512,sphincsshake128ssimple,pqc,pqc,10,19,0,679.580526,485.074357,461.464495,897.696558,0 - default
MLKEM768,MLDSA65,pqc,pqc,10,18,2,3.707778,1.044507,3.225240,4.190315,0 - default
MLKEM768,sphincssha2192fsimple,pqc,pqc,10,19,1,17.360526,1.259138,16.794349,17.926704,0 - default
MLKEM768,sphincssha2192ssimple,pqc,pqc,10,18,2,268.887778,2.388390,267.784398,269.991158,0 - default
MLKEM768,sphincsshake192fsimple,pqc,pqc,10,16,4,30.417500,0.883768,29.984453,30.850547,0 - default
MLKEM1024,MLDSA87,pqc,pqc,10,16,4,5.521875,3.769412,3.674863,7.368887,0 - default
MLKEM1024,falcon1024,pqc,pqc,10,18,2,3.757222,0.671748,3.446891,4.067554,0 - default
MLKEM1024,falconpadded1024,pqc,pqc,10,18,2,3.333889,0.446491,3.127620,3.540157,0 - default
MLKEM1024,sphincssha2256fsimple,pqc,pqc,10,17,3,32.520588,3.046368,31.072437,33.968739,0 - default
MLKEM1024,sphincsshake256fsimple,pqc,pqc,10,17,3,60.168824,1.978961,59.228085,61.109562,0 - default
MLKEM1024,sphincsshake256ssimple,pqc,pqc,10,17,2,488.054118,2.777697,486.733684,489.374551,0 - default
frodo640aes,falcon512,pqc,pqc,10,16,4,5.913750,1.473001,5.191980,6.635520,0 - default
frodo640aes,falconpadded512,pqc,pqc,10,16,3,5.403125,1.428882,4.702973,6.103277,0 - default
frodo640shake,falcon512,pqc,pqc,10,16,3,6.763125,0.711962,6.414264,7.111986,0 - default
frodo640shake,falconpadded512,pqc,pqc,10,19,1,7.504211,1.742847,6.720531,8.287890,0 - default
frodo640shake,sphincssha2128fsimple,pqc,pqc,10,17,2,16.697059,2.867939,15.333727,18.060390,0 - default
bikel1,MLDSA44,pqc,pqc,10,18,2,6.072778,2.019665,5.139740,7.005815,0 - default
bikel1,falcon512,pqc,pqc,10,16,4,4.379375,0.617171,4.076961,4.681789,0 - default
bikel1,falconpadded512,pqc,pqc,10,17,3,5.639412,2.512943,4.444835,6.833989,0 - default
bikel1,sphincssha2128fsimple,pqc,pqc,10,16,3,13.323125,1.593159,12.542477,14.103773,0 - default
bikel1,sphincssha2128ssimple,pqc,pqc,10,18,1,329.904444,282.917079,199.203422,460.605467,0 - default
bikel1,sphincsshake128fsimple,pqc,pqc,10,16,4,21.814375,1.931124,20.868124,22.760626,0 - default
bikel3,MLDSA65,pqc,pqc,10,16,4,7.053750,1.925371,6.110318,7.997182,0 - default
bikel3,sphincssha2192fsimple,pqc,pqc,10,16,4,20.601875,2.416709,19.417688,21.786062,0 - default
bikel3,sphincsshake192fsimple,pqc,pqc,10,17,3,35.801765,4.208541,33.801151,37.802378,0 - default
bikel5,MLDSA87,pqc,pqc,10,16,4,12.415625,3.344211,10.776962,14.054288,0 - default
bikel5,falcon1024,pqc,pqc,10,16,3,10.251875,1.462337,9.535330,10.968420,0 - default
bikel5,falconpadded1024,pqc,pqc,10,16,4,9.893750,0.955181,9.425711,10.361789,0 - default
bikel5,sphincssha2256fsimple,pqc,pqc,10,17,2,37.828824,2.812132,36.492021,39.165626,0 - default
hqc128,MLDSA44,pqc,pqc,10,17,3,32.633529,0.893609,32.208735,33.058324,0 - default
hqc128,falcon512,pqc,pqc,10,19,1,40.822632,12.379381,35.256183,46.389080,0 - default
hqc128,falconpadded512,pqc,pqc,10,17,3,35.228235,5.705507,32.516009,37.940461,0 - default
hqc128,sphincssha2128fsimple,pqc,pqc,10,18,1,51.272778,15.535045,44.095953,58.449602,0 - default
hqc128,sphincsshake128fsimple,pqc,pqc,10,17,2,73.448235,34.997353,56.811550,90.084921,0 - default
