kem,signature,kem_category,signature_category,loss_profile,iterations,outliers_removed,mean_ms,std_ms,ci95_low_ms,ci95_high_ms,quic_mode
MLKEM512,MLDSA44,pqc,pqc,2,19,1,2.630526,0.634459,2.345239,2.915814,0 - default
MLKEM512,falcon512,pqc,pqc,2,18,2,2.590556,0.117196,2.536414,2.644697,0 - default
MLKEM512,falconpadded512,pqc,pqc,2,20,0,2.607000,0.205813,2.516799,2.697201,0 - default
MLKEM512,sphincssha2128fsimple,pqc,pqc,2,16,4,10.341250,0.128316,10.278375,10.404125,0 - default
MLKEM512,sphincssha2128ssimple,pqc,pqc,2,18,2,149.921667,0.224323,149.818035,150.025298,0 - default
MLKEM512,sphincsshake128fsimple,pqc,pqc,2,17,3,19.091765,0.115447,19.036885,19.146645,0 - default
MLKEM512,sphincsshake128ssimple,pqc,pqc,2,20,0,318.166000,0.185824,318.084559,318.247441,0 - default
MLKEM768,MLDSA65,pqc,pqc,2,20,0,2.737000,0.439139,2.544539,2.929461,0 - default
MLKEM768,sphincssha2192fsimple,pqc,pqc,2,19,1,15.831053,0.157688,15.760147,15.901958,0 - default
MLKEM768,sphincssha2192ssimple,pqc,pqc,2,18,2,267.282222,0.195525,267.191894,267.372550,0 - default
MLKEM768,sphincsshake192fsimple,pqc,pqc,2,17,3,29.434118,0.324905,29.279668,29.588568,0 - default
MLKEM1024,MLDSA87,pqc,pqc,2,20,0,4.215500,1.244121,3.670240,4.760760,0 - default
MLKEM1024,falcon1024,pqc,pqc,2,18,2,2.976111,0.122960,2.919306,3.032916,0 - default
MLKEM1024,falconpadded1024,pqc,pqc,2,17,3,2.928824,0.084549,2.888631,2.969016,0 - default
MLKEM1024,sphincssha2256fsimple,pqc,pqc,2,17,3,28.521176,0.184014,28.433702,28.608651,0 - default
MLKEM1024,sphincssha2256ssimple,pqc,pqc,2,18,1,243.097222,0.213922,242.998396,243.196049,0 - default
MLKEM1024,sphincsshake256fsimple,pqc,pqc,2,18,2,56.908889,0.184611,56.823603,56.994175,0 - default
frodo640aes,MLDSA44,pqc,pqc,2,17,3,4.185294,0.260579,4.061423,4.309166,0 - default
frodo640aes,falcon512,pqc,pqc,2,17,3,4.290588,0.066659,4.258901,4.322276,0 - default
frodo640aes,falconpadded512,pqc,pqc,2,17,3,4.348824,0.115536,4.293901,4.403746,0 - default
frodo640aes,sphincssha2128fsimple,pqc,pqc,2,18,2,12.043333,0.200206,11.950843,12.135824,0 - default
frodo640aes,sphincssha2128ssimple,pqc,pqc,2,17,3,151.508824,0.381230,151.327598,151.690049,0 - default
frodo640shake,MLDSA44,pqc,pqc,2,18,2,6.090000,0.379768,5.914556,6.265444,0 - default
frodo640shake,falcon512,pqc,pqc,2,19,1,6.442105,0.383197,6.269799,6.614412,0 - default
frodo640shake,falconpadded512,pqc,pqc,2,16,4,6.251875,0.062099,6.221447,6.282303,0 - default
frodo640shake,sphincssha2128fsimple,pqc,pqc,2,18,2,14.032778,0.452429,13.823766,14.241789,0 - default
frodo640shake,sphincssha2128ssimple,pqc,pqc,2,17,2,153.450000,0.245561,153.333268,153.566732,0 - default
frodo640shake,sphincsshake128fsimple,pqc,pqc,2,15,4,22.513333,0.100475,22.462486,22.564181,0 - default
frodo976aes,MLDSA65,pqc,pqc,2,18,2,5.432222,0.396018,5.249271,5.615173,0 - default
frodo976shake,MLDSA65,pqc,pqc,2,17,3,9.889412,0.794335,9.511809,10.267015,0 - default
frodo1344aes,MLDSA87,pqc,pqc,2,18,2,7.716667,0.942369,7.281315,8.152019,0 - default
frodo1344aes,falconpadded1024,pqc,pqc,2,17,2,7.599412,1.186289,7.035486,8.163338,0 - default
frodo1344shake,MLDSA87,pqc,pqc,2,19,1,15.224737,1.147206,14.708890,15.740584,0 - default
frodo1344shake,falcon1024,pqc,pqc,2,15,4,14.595333,0.133142,14.527954,14.662712,0 - default
frodo1344shake,falconpadded1024,pqc,pqc,2,17,2,14.651765,0.175258,14.568452,14.735077,0 - default
bikel1,MLDSA44,pqc,pqc,2,19,1,4.080526,0.436647,3.884186,4.276867,0 - default
bikel1,falcon512,pqc,pqc,2,15,5,4.021333,0.061629,3.990145,4.052522,0 - default
bikel1,falconpadded512,pqc,pqc,2,16,4,4.038125,0.076177,4.000798,4.075452,0 - default
bikel1,sphincssha2128fsimple,pqc,pqc,2,16,4,11.683125,0.115338,11.626609,11.739641,0 - default
bikel1,sphincssha2128ssimple,pqc,pqc,2,19,1,151.177895,0.149836,151.110520,151.245269,0 - default
bikel1,sphincsshake128fsimple,pqc,pqc,2,17,3,20.366471,0.082230,20.327381,20.405560,0 - default
bikel1,sphincsshake128ssimple,pqc,pqc,2,17,3,319.462941,0.159443,319.387147,319.538736,0 - default
bikel3,MLDSA65,pqc,pqc,2,17,3,5.607059,0.266804,5.480228,5.733890,0 - default
bikel3,sphincssha2192fsimple,pqc,pqc,2,16,4,18.811875,0.136344,18.745067,18.878683,0 - default
bikel3,sphincssha2192ssimple,pqc,pqc,2,15,4,270.401333,0.166256,270.317196,270.485470,0 - default
bikel3,sphincsshake192fsimple,pqc,pqc,2,16,4,32.274375,0.336392,32.109543,32.439207,0 - default
bikel3,sphincsshake192ssimple,pqc,pqc,2,18,2,572.366111,0.262233,572.244965,572.487257,0 - default
bikel5,MLDSA87,pqc,pqc,2,18,2,9.317778,0.347792,9.157106,9.478450,0 - default
bikel5,falcon1024,pqc,pqc,2,18,2,9.278333,0.073904,9.244192,9.312475,0 - default
bikel5,falconpadded1024,pqc,pqc,2,16,4,9.341875,0.055764,9.314551,9.369199,0 - default
bikel5,sphincssha2256fsimple,pqc,pqc,2,18,1,35.658333,1.080671,35.159089,36.157578,0 - default
bikel5,sphincssha2256ssimple,pqc,pqc,2,18,1,249.512778,0.165878,249.436146,249.589409,0 - default
bikel5,sphincsshake256fsimple,pqc,pqc,2,16,3,63.561875,0.220491,63.453834,63.669916,0 - default
bikel5,sphincsshake256ssimple,pqc,pqc,2,19,1,492.836842,0.873372,492.444126,493.229558,0 - default
hqc128,MLDSA44,pqc,pqc,2,20,0,32.182000,0.588938,31.923886,32.440114,0 - default
hqc128,falcon512,pqc,pqc,2,17,3,32.207059,0.312665,32.058427,32.355690,0 - default
hqc128,falconpadded512,pqc,pqc,2,16,4,32.115625,0.083664,32.074630,32.156620,0 - default
hqc128,sphincssha2128fsimple,pqc,pqc,2,16,4,39.790625,0.171249,39.706713,39.874537,0 - default
hqc128,sphincssha2128ssimple,pqc,pqc,2,16,4,179.427500,0.083626,179.386523,179.468477,0 - default
hqc128,sphincsshake128fsimple,pqc,pqc,2,16,4,48.488125,0.096417,48.440881,48.535369,0 - default
hqc128,sphincsshake128ssimple,pqc,pqc,2,17,3,347.500000,0.359792,347.328966,347.671034,0 - default
hqc192,sphincssha2192fsimple,pqc,pqc,2,18,1,102.500556,0.594677,102.225829,102.775282,0 - default
hqc256,MLDSA87,pqc,pqc,2,18,1,162.843333,1.006333,162.378431,163.308235,0 - default
