kem,signature,kem_category,signature_category,loss_profile,iterations,outliers_removed,mean_ms,std_ms,ci95_low_ms,ci95_high_ms,quic_mode
MLKEM512,MLDSA44,pqc,pqc,5,17,3,2.607647,0.528861,2.356242,2.859052,0 - default
MLKEM512,falcon512,pqc,pqc,5,16,4,2.635625,0.174813,2.549967,2.721283,0 - default
MLKEM512,falconpadded512,pqc,pqc,5,16,4,2.633750,0.198893,2.536293,2.731207,0 - default
MLKEM512,sphincssha2128fsimple,pqc,pqc,5,17,3,10.370000,0.174964,10.286827,10.453173,0 - default
MLKEM512,sphincssha2128ssimple,pqc,pqc,5,17,3,149.947647,0.325759,149.792791,150.102503,0 - default
MLKEM512,sphincsshake128fsimple,pqc,pqc,5,16,4,19.245625,0.422642,19.038530,19.452720,0 - default
MLKEM512,sphincsshake128ssimple,pqc,pqc,5,17,3,318.471765,0.737116,318.121362,318.822168,0 - default
MLKEM768,MLDSA65,pqc,pqc,5,19,1,3.582105,1.082428,3.095386,4.068824,0 - default
MLKEM768,sphincssha2192fsimple,pqc,pqc,5,17,3,16.034118,0.472851,15.809338,16.258897,0 - default
MLKEM768,sphincssha2192ssimple,pqc,pqc,5,17,2,268.020000,1.116199,267.489393,268.550607,0 - default
MLKEM768,sphincsshake192fsimple,pqc,pqc,5,18,2,29.322222,0.118895,29.267296,29.377149,0 - default
MLKEM1024,MLDSA87,pqc,pqc,5,18,2,4.040556,1.054310,3.553489,4.527622,0 - default
MLKEM1024,falcon1024,pqc,pqc,5,16,4,2.995625,0.153622,2.920350,3.070900,0 - default
MLKEM1024,falconpadded1024,pqc,pqc,5,18,2,3.781111,0.968443,3.333713,4.228509,0 - default
MLKEM1024,sphincssha2256fsimple,pqc,pqc,5,16,4,28.791250,0.206716,28.689959,28.892541,0 - default
MLKEM1024,sphincssha2256ssimple,pqc,pqc,5,18,2,243.624444,1.103797,243.114516,244.134373,0 - default
MLKEM1024,sphincsshake256fsimple,pqc,pqc,5,17,3,57.887059,1.107349,57.360658,58.413459,0 - default
MLKEM1024,sphincsshake256ssimple,pqc,pqc,5,17,2,486.727059,1.266273,486.125111,487.329007,0 - default
frodo640aes,falcon512,pqc,pqc,5,17,3,4.808235,0.716504,4.467631,5.148840,0 - default
frodo640aes,falconpadded512,pqc,pqc,5,19,1,5.192632,1.448336,4.541380,5.843883,0 - default
frodo640aes,sphincssha2128fsimple,pqc,pqc,5,17,2,13.490588,1.883920,12.595029,14.386147,0 - default
frodo640shake,MLDSA44,pqc,pqc,5,18,1,6.714444,0.836563,6.327972,7.100917,0 - default
frodo640shake,falcon512,pqc,pqc,5,18,1,6.677222,0.502451,6.445102,6.909343,0 - default
frodo640shake,falconpadded512,pqc,pqc,5,17,3,6.447059,0.474931,6.221291,6.672827,0 - default
frodo640shake,sphincssha2128fsimple,pqc,pqc,5,18,2,16.452222,2.277430,15.400103,17.504341,0 - default
frodo976aes,MLDSA65,pqc,pqc,5,18,2,5.658333,0.665205,5.351025,5.965642,0 - default
frodo976shake,MLDSA65,pqc,pqc,5,17,3,10.121765,0.798641,9.742115,10.501415,0 - default
frodo1344aes,falcon1024,pqc,pqc,5,16,3,9.650000,6.156154,6.633485,12.666515,0 - default
frodo1344aes,falconpadded1024,pqc,pqc,5,16,3,7.211250,0.375196,7.027404,7.395096,0 - default
frodo1344shake,MLDSA87,pqc,pqc,5,17,2,16.325882,2.902198,14.946265,17.705500,0 - default
bikel1,MLDSA44,pqc,pqc,5,16,3,3.984375,0.381820,3.797283,4.171467,0 - default
